takeoffdate	landingdate	airlineMarketing	airlineOperator	airlineOwner	airportOrg	orgLAT	orgLON	airportDst	desLAT	desLON	ACtype	takeOffTime	landingTime	durationH	takeOffMinute	landingMinute		
01/01/2016 02:40	01/01/2016 05:30	Emirates Airline	Emirates Airline	Emirates Airline	JEDDAH	21.667	39.15	DUBAI INTERNATIONAL	25.253	55.364	388	2:40:00	5:30:00	2:50:00	160	330		
01/01/2016 03:05	01/01/2016 06:10	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	JEDDAH	21.667	39.15	388	3:05:00	6:10:00	3:05:00	185	370		
01/01/2016 03:10	01/01/2016 06:20	China Southern Airlines	China Southern Airlines	China Southern Airlines	 Beijing Capital International Airport	40.066	116.609	Chengdu Shuangliu International Airport	30.575	103.951	380	3:10:00	6:20:00	3:10:00	190	380		
01/01/2016 03:20	01/01/2016 11:05	Emirates Airline	Emirates Airline	Emirates Airline	NEW YORK J F KENNEDY INTERNATIONAL APT	40.641	-73.778	MILAN MALPENSA APT	45.63	8.726	388	3:20:00	11:05:00	7:45:00	200	665		
01/01/2016 03:20	01/01/2016 11:20	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	 Manchester Airport	53.34	-2.295	388	3:20:00	11:20:00	8:00:00	200	680		
01/01/2016 03:25	01/01/2016 11:40	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	MADRID BARAJAS APT	40.483	-3.567	388	3:25:00	11:40:00	8:15:00	205	700		
01/01/2016 03:45	01/01/2016 11:35	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	LONDON HEATHROW Airport	51.467	-0.45	388	3:45:00	11:35:00	7:50:00	225	695		
01/01/2016 03:50	01/01/2016 11:25	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	PARIS CHARLES DE GAULLE APT	49.005	2.555	388	3:50:00	11:25:00	7:35:00	230	685		
01/01/2016 03:50	01/01/2016 11:25	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	BARCELONA APT	41.296	2.081	388	3:50:00	11:25:00	7:35:00	230	685		
01/01/2016 04:00	01/01/2016 16:15	Emirates Airline	Emirates Airline	Emirates Airline	NEW YORK J F KENNEDY INTERNATIONAL APT	40.641	-73.778	DUBAI INTERNATIONAL	25.253	55.364	388	4:00:00	16:15:00	12:15:00	240	975		
01/01/2016 04:00	01/01/2016 11:50	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	LONDON  Gatwick Airport	51.15	-0.176	388	4:00:00	11:50:00	7:50:00	240	710		
01/01/2016 04:00	01/01/2016 12:05	Etihad Airways	Etihad Airways	Etihad Airways	 Abu Dhabi International Airport	24.446	54.646	LONDON HEATHROW Airport	51.467	-0.45	388	4:00:00	12:05:00	8:05:00	240	725		
01/01/2016 04:05	01/01/2016 19:35	Qantas	Qantas	Qantas	SYDNEY - KINGSFORD SMITH Airport	-33.94	151.179	DALLAS/FORT WORTH INTL APT	32.899	-97.04	388	4:05:00	19:35:00	15:30:00	245	1175		
01/01/2016 04:10	01/01/2016 11:40	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	AMSTERDAM	52.3	4.75	388	4:10:00	11:40:00	7:30:00	250	700		
01/01/2016 04:20	01/01/2016 14:45	British Airways	British Airways	British Airways	SAN FRANCISCO INTERNATIONAL APT	37.62137391	-122.379	LONDON HEATHROW Airport	51.467	-0.45	388	4:20:00	14:45:00	10:25:00	260	885		
01/01/2016 04:20	01/01/2016 11:20	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	COPENHAGEN KASTRUP Airport	55.618	12.653	388	4:20:00	11:20:00	7:00:00	260	680		
01/01/2016 04:30	01/01/2016 18:55	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	NEW YORK J F KENNEDY INTERNATIONAL APT	40.641	-73.778	388	4:30:00	18:55:00	14:25:00	270	1135		
01/01/2016 04:30	01/01/2016 20:45	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	Los Angeles International Airport	33.941	-118.409	388	4:30:00	20:45:00	16:15:00	270	1245		
01/01/2016 04:30	01/01/2016 11:25	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	ZURICH AIRPORT	47.461	8.55	388	4:30:00	11:25:00	6:55:00	270	685		
01/01/2016 04:35	01/01/2016 11:45	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	DUSSELDORF INTERNATIONAL AIRPORT	51.283	6.767	388	4:35:00	11:45:00	7:10:00	275	705		
01/01/2016 04:40	01/01/2016 11:45	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	FRANKFURT INTERNATIONAL Airport	50.036	8.57	388	4:40:00	11:45:00	7:05:00	280	705		
01/01/2016 04:45	01/01/2016 11:35	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	MUNICH INTERNATIONAL AIRPORT	48.35	11.783	388	4:45:00	11:35:00	6:50:00	285	695		
01/01/2016 04:45	01/01/2016 12:25	Qatar Airways	Qatar Airways	Qatar Airways	DOHA	25.269	51.613	LONDON HEATHROW Airport	51.467	-0.45	388	4:45:00	12:25:00	7:40:00	285	745		
01/01/2016 04:55	01/01/2016 15:15	British Airways	British Airways	British Airways	Los Angeles International Airport	33.941	-118.409	LONDON HEATHROW Airport	51.467	-0.45	388	4:55:00	15:15:00	10:20:00	295	915		
01/01/2016 04:55	01/01/2016 20:55	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	SAN FRANCISCO INTERNATIONAL APT	37.62137391	-122.379	388	4:55:00	20:55:00	16:00:00	295	1255		
01/01/2016 04:55	01/01/2016 12:10	Qatar Airways	Qatar Airways	Qatar Airways	DOHA	25.269	51.613	PARIS CHARLES DE GAULLE APT	49.005	2.555	388	4:55:00	12:10:00	7:15:00	295	730		
01/01/2016 05:00	01/01/2016 11:40	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	ROME FIUMICINO APT	41.798	12.247	388	5:00:00	11:40:00	6:40:00	300	700		
